eval_period,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly
2015-04-01,-0.04636358550905718,-0.03697857200574452,-0.034579325898054014,-0.03955590716875916,-0.035455870293524365,-0.034709430638739255,-0.0245787195072653,0.0038921834196931756,4.589781036707016e-05,-0.0033943744519826908,-0.0014190153160456812,-0.004142784178568286,-0.002315623365904808,-0.002331511039690995,-0.004166419637042311,-0.006864131590728223,-0.004459726822174663,-0.006080304579695974,-0.005250502270978249,-0.00028221510559751976,-0.003731412874686189,-0.011086211918668614,-0.021415013672705572,-0.017249292754023222,-0.020781040749247824,-0.02359131010980244,-0.021737083824020776,-0.020123061071623562,-0.06105330529762613,-0.041656183062180184,-0.046998846639195326,-0.045125320581119226,-0.05203011927525525,-0.04161498150157074,-0.04304279079683253,-0.08405712797258261,-0.05981648924709457,-0.06992241805063462,-0.0743660594218645,-0.07752916722585992,-0.07484007657544502,-0.08360841393834813
2015-05-01,-0.02366557095798798,-0.030410006882919217,-0.02846387090219276,-0.0305383900847057,-0.033934435775077695,-0.03216438612180599,-0.025981747946674235,-0.002457180738256279,-0.0006759489505220661,-0.00031718217604773715,-0.0012079706237757934,0.0005786705938895416,-0.0006739003150558327,-0.00023853948382513828,0.020388377581395816,0.012513705938900372,0.007158591589028165,0.004744714820388129,0.003362200062654833,-0.005564929843173916,-0.007770726133049003,-0.010512093648440165,-0.021199512232421457,-0.029309745187579516,-0.02522480550506039,-0.026130356688042287,-0.022180388795694814,-0.0173602034994519,-0.044297998050680056,-0.04772116140911246,-0.05487604303478873,-0.061381869956295326,-0.06419108332376283,-0.05376794366943262,-0.051090011652218034,-0.14729559223745078,-0.12461477325818822,-0.12100213167888535,-0.11503662509820156,-0.11039767815713392,-0.12122010496715364,-0.1032907485005799
2015-06-01,-0.022775341324418795,-0.03024646123453073,-0.03019966911092665,-0.030686613440562862,-0.028236180576370076,-0.030354811914058366,-0.029281514263040338,0.0027972894001756527,0.0017247381933062562,-0.0014497903601595674,-0.003708244733500498,-0.004621944582294697,-0.000824932917194415,-0.0025498989113259935,0.021725066808124697,0.01861492843588196,0.012872118289592421,0.013815650825281578,0.011144093715888042,0.00703569799381822,-0.002973341015435135,-0.0264279085988341,-0.022769374209216115,-0.020442440750599124,-0.019587149132802174,-0.016843701945119114,-0.014695792303144623,-0.01852504216907754,-0.05439657521943009,-0.047339243431971156,-0.054088765846237834,-0.06377655683012569,-0.05914350785265054,-0.0560540153415287,-0.053864914208957365,-0.14548951444048122,-0.1338801826501661,-0.1375771359601957,-0.13794269054057848,-0.13403956514159335,-0.1337630661799074,-0.11788210122203463
2015-07-01,-0.022139543490318478,-0.027853574236015147,-0.024381104074211367,-0.019559109508608483,-0.02179172513767813,-0.02645664851250372,-0.02945471704075923,-0.003646598923240078,-0.002898876643392318,-0.00021792836079866383,-0.00045745845325544863,-0.0003155453565651525,0.0013729141903997362,-4.572872274455405e-05,0.008626816964782935,-0.0002516168152783232,-0.0059382221093959835,-0.0024214671068565298,-0.005387601715442128,-0.004514594174540583,-0.00137501935520682,-0.04707715190372758,-0.028770262351927766,-0.03133419782909668,-0.02900209353763049,-0.02457349849478122,-0.026652830934854876,-0.024042773564502164,-0.06780973001717099,-0.07575296003713783,-0.07530686541010624,-0.06984267020338579,-0.06860238933803015,-0.06095574412610953,-0.0522187685135883,-0.1315780008237856,-0.1229048242954392,-0.12210347894010054,-0.12615083082279416,-0.1317352904443215,-0.12295970917519343,-0.11254774969352462
2015-08-01,-0.017811269477418356,-0.02273268051423308,-0.02329734990560665,-0.02941915468223701,-0.028410764863768076,-0.034126463085587574,-0.03889598613583471,-0.017261486008524406,-0.014179727612758684,-0.0074192450279725935,-0.005844540477401867,-0.005127086124272943,-0.007823127277367482,-0.009390688833806142,-0.01584617747438598,-0.01725409710529163,-0.011697723906292415,-0.008295023148938633,-0.009510082476522687,-0.006737725432507682,-0.0057266966053723615,-0.04308320654416898,-0.04224349088012025,-0.04236999268784166,-0.03481593676806989,-0.04031474821814731,-0.031605702868968265,-0.027046916925879006,-0.07762027677408971,-0.10215741879858223,-0.0819260082745596,-0.07373484711290483,-0.07597272047858851,-0.07626860458801228,-0.07235973312074959,-0.17560545145439954,-0.17808159972723778,-0.17064880068287142,-0.15879376480304128,-0.16093856088232125,-0.14540212440415784,-0.1434676491934157
2015-09-01,-0.04821761474890771,-0.03825227645152963,-0.042776723776364704,-0.042243189312245404,-0.05203896243002807,-0.04386602680252917,-0.04771088972261901,-0.013302525124852728,-0.01658705264990299,-0.014242432353141004,-0.014870956814568117,-0.016129547842770056,-0.01665950625989081,-0.01548100164270344,-0.00255210132724105,-0.004637394527694133,-0.004616063735117961,-0.009274463544616227,-0.008458052227864377,-0.013242017456573961,-0.020246679588719427,-0.06148365940634783,-0.0612848458904265,-0.05978218738671215,-0.049617576083070755,-0.04398850273621939,-0.041139447148211696,-0.04646310449033265,-0.09429058528023183,-0.09356096636077865,-0.0904021729289787,-0.09053526342525317,-0.08715545926125912,-0.08778969775299147,-0.0768829677430274,-0.14757072130998602,-0.1544410304469265,-0.1478232143810476,-0.13065667272007603,-0.13173328926993652,-0.13926843778015202,-0.14009351962362251
2015-10-01,-0.062127583789634275,-0.06040276275036697,-0.060252351581037346,-0.052364243261136166,-0.05004862313248524,-0.05670133842427056,-0.053795860432898586,-0.02467495977739502,-0.02723856633159668,-0.02672160028924076,-0.026437017146071513,-0.02637039354857566,-0.029117602079330288,-0.03030594727228229,-0.024875630509502707,-0.022677747882896893,-0.025922051296616157,-0.026171811119158308,-0.026413124473542084,-0.028773169595817504,-0.026665383837937037,-0.04397041742714622,-0.04723050392679538,-0.055744739393549333,-0.05409567431619665,-0.05054198902149501,-0.05267541938879025,-0.04933586382869072,-0.054962562309716176,-0.07059935407915564,-0.08117024788669074,-0.08357224440355954,-0.08561985413831268,-0.09044061829760179,-0.08644392756306915,-0.13506902968289666,-0.17316695633996204,-0.15689368873504803,-0.16186747690412556,-0.16360240503767293,-0.15626240668075828,-0.15378270188801793
2015-11-01,-0.07980049579158768,-0.07857960197427488,-0.07722868761437457,-0.07038469691504141,-0.07478170912912249,-0.07537092072824512,-0.06819639394480599,-0.04401756204894067,-0.04186323340806835,-0.04488443174836994,-0.04780769812673003,-0.04850879988337183,-0.04500325207612257,-0.044316296523508,-0.038909016580304885,-0.04569131026184059,-0.049000840438926004,-0.0443347734620193,-0.04214370219326889,-0.038920749112458415,-0.04002513668473058,-0.0634200401555727,-0.07183869425488904,-0.06721026523318147,-0.06456861044165643,-0.06693411443285456,-0.06810966915252567,-0.07290713739352198,-0.09583684680379613,-0.10106596842961722,-0.10036049449144031,-0.09875116352096969,-0.09446082788170222,-0.0928826761683906,-0.10367652886224855,-0.20856128812668923,-0.1906936417997537,-0.180268656755801,-0.18303442710026932,-0.17738170362686098,-0.17608575871798016,-0.16798636855317545
2015-12-01,-0.10943841364952168,-0.0980402693674501,-0.09783434702683115,-0.09588462104918875,-0.09553810492261218,-0.0948888648227757,-0.09595068445759584,-0.037148696195670204,-0.03409989277545685,-0.035074069760489275,-0.029008799014054242,-0.031216771094588855,-0.03284531936235653,-0.0300058776229295,-0.062166378314284905,-0.050887125203866394,-0.0542726098768721,-0.05524552784764598,-0.057106217854616434,-0.05315416656108924,-0.05793278755024694,-0.10248659583392425,-0.10784905847917275,-0.1101907782123756,-0.10558233620144652,-0.10642941389464856,-0.10419445468334677,-0.09930752422593087,-0.16925375031934226,-0.15836550130239685,-0.15740486300798331,-0.15536942609589477,-0.15170347768214498,-0.16504508881273872,-0.1595555918194636,-0.1904500328503468,-0.22154313949075857,-0.20826183446989904,-0.20860449959181626,-0.21669587763861625,-0.21254930260571342,-0.2106925391366491
2016-01-01,-0.08395988976609985,-0.08616976063455034,-0.09644031261612243,-0.09334367468201674,-0.09179017933043447,-0.09700810457191462,-0.09423450164486043,-0.024226262567865864,-0.027431724662425987,-0.02539985502719529,-0.02642220764167502,-0.027043131333977212,-0.02810466722463352,-0.03136657446011259,-0.05280119191176182,-0.05498634601053258,-0.05505004630796497,-0.04954109471206206,-0.04564684685399923,-0.048644305625327226,-0.04643389241720719,-0.1197017713663803,-0.08985420245940483,-0.09461545327752881,-0.08674704951336361,-0.08719658644564536,-0.09885205900626327,-0.09808731275862281,-0.1560033380500279,-0.15542791493191105,-0.15576626105134658,-0.15668928379290828,-0.15403700069675258,-0.1524352783007944,-0.15201410425934245,-0.17783040884598744,-0.19649797282078935,-0.2144475873394988,-0.2150842758761235,-0.21297374921327092,-0.21112471998813076,-0.20732076724341109
