iter	Logloss
404	0.4446023192
405	0.4445565575
406	0.444501459
407	0.4444543574
408	0.4443915751
409	0.444348818
410	0.4442907543
411	0.4442409049
412	0.4441805592
413	0.444126493
414	0.444084038
415	0.4440282249
416	0.4439744924
417	0.4439302468
418	0.4438964039
419	0.4438358121
420	0.443792957
421	0.4437405389
422	0.4436940084
423	0.4436495872
424	0.443608885
425	0.4435550893
426	0.4435071146
427	0.4434398515
428	0.4434070899
429	0.4433538908
430	0.4433037666
431	0.4432537364
432	0.4432149687
433	0.4431666299
434	0.4431128969
435	0.4430612452
436	0.4430036074
437	0.4429631039
438	0.4429184796
439	0.4428593475
440	0.442805799
441	0.4427648418
442	0.4427174223
443	0.4426838044
444	0.4426301417
445	0.4425864017
446	0.4425353789
447	0.4424899668
448	0.4424495389
449	0.4424045539
450	0.4423536596
451	0.442305742
452	0.4422791469
453	0.4422319214
454	0.4421739379
455	0.442113937
456	0.4420637301
457	0.4420280068
458	0.4419780979
459	0.4419349448
460	0.4418997908
461	0.4418834912
462	0.4418193294
463	0.4417976944
464	0.4417474864
465	0.4416973949
466	0.4416606459
467	0.4416073817
468	0.4415546362
469	0.4415053745
470	0.4414584891
471	0.4414135315
472	0.4413721824
473	0.4413190613
474	0.4412796534
475	0.4412312269
476	0.4411842172
477	0.4411177231
478	0.4410821354
479	0.4410418492
480	0.4409917711
481	0.4409523381
482	0.4409051125
483	0.4408672331
484	0.4408111605
485	0.4407669311
486	0.4407044606
487	0.4406501354
488	0.4406105605
489	0.4405768363
490	0.4405409928
491	0.440502626
492	0.4404559201
493	0.440397046
494	0.4403637298
495	0.4403134119
496	0.4402633037
497	0.440221835
498	0.4401513354
499	0.4401019422
500	0.4400409669
501	0.439991785
502	0.439929584
503	0.4398873527
504	0.4398432914
505	0.4398159841
506	0.4397775643
507	0.4397404013
508	0.4397001763
509	0.4396702804
510	0.4396517003
511	0.4396121393
512	0.4395683206
513	0.4395138278
514	0.4394658609
515	0.4393978255
516	0.4393535937
517	0.4393177636
518	0.4392735033
519	0.4392539804
520	0.4392079366
521	0.439171776
522	0.4391168672
523	0.4390665714
524	0.4390228315
525	0.4389590545
526	0.4389180697
527	0.4388743992
528	0.4388442595
529	0.4387763995
530	0.4387396781
531	0.4387014669
532	0.4386489223
533	0.4386168944
534	0.4385615172
535	0.4385129201
536	0.4384680293
537	0.4384191282
538	0.4383760139
539	0.4383262722
540	0.4382795412
541	0.4382234466
542	0.438171256
543	0.4381239831
544	0.4380899577
545	0.4380358842
546	0.4379949874
547	0.4379482954
548	0.437894703
549	0.4378378556
550	0.4377973262
551	0.4377672497
552	0.437719137
553	0.4377094819
554	0.4376527109
555	0.4376006848
556	0.4375473078
557	0.4375131216
558	0.4374689099
559	0.4374370584
560	0.4373995443
561	0.4373619766
562	0.4373185814
563	0.4372516739
564	0.437224226
565	0.4371719673
566	0.4371326452
567	0.4370737476
568	0.437013545
569	0.4369763106
570	0.4369450743
571	0.4368943871
572	0.4368447995
573	0.4367910056
574	0.4367589587
575	0.436719811
576	0.4366753998
577	0.4366224572
578	0.4365797348
579	0.4365475605
580	0.4364827619
581	0.4364451872
582	0.4364066279
583	0.4363626154
584	0.4363057048
585	0.4362833446
586	0.4362612573
587	0.4362286806
588	0.4361785213
589	0.43613017
590	0.4360939714
591	0.4360518169
592	0.4360111737
593	0.4359665485
594	0.4359422314
595	0.4358953124
596	0.4358543586
597	0.4358080269
598	0.4357552947
599	0.4357154594
600	0.4356736578
601	0.4356363725
602	0.435603577
603	0.4355873418
604	0.4355487681
605	0.4355044519
606	0.4354515317
607	0.4354041191
608	0.4353660266
609	0.4353292884
610	0.4352954332
611	0.4352541851
612	0.435202026
613	0.4351762672
614	0.4351342072
615	0.435080411
616	0.4350584706
617	0.4350100441
618	0.4349526264
619	0.4349028566
620	0.4348604442
621	0.434796185
622	0.4347721784
623	0.4347274539
624	0.4347257374
625	0.4346713609
626	0.4346279724
627	0.4345881788
628	0.434546529
629	0.4345260022
630	0.4344836729
631	0.4344462643
632	0.4344044073
633	0.4343734574
634	0.4343287331
635	0.4342892329
636	0.4342386122
637	0.4341999438
638	0.4341470278
639	0.4340907424
640	0.4340347895
641	0.433997569
642	0.433956233
643	0.4339176208
644	0.4338778812
645	0.4338460956
646	0.4337949913
647	0.4337510892
648	0.4337310851
649	0.4336954368
650	0.4336520459
651	0.4335923637
652	0.4335574403
653	0.4335199131
654	0.4334868459
655	0.4334526323
656	0.433410823
657	0.4333535115
658	0.4333207929
659	0.4332673061
660	0.4332462071
661	0.4332065731
662	0.4332061931
663	0.4331652001
