iter	Passed	Remaining
683	32730	51009
684	32776	50958
685	32821	50906
686	32868	50858
687	32915	50807
688	32960	50756
689	33008	50708
690	33054	50658
691	33104	50613
692	33151	50563
693	33199	50516
694	33246	50468
695	33294	50420
696	33340	50368
697	33388	50322
698	33433	50269
699	33477	50216
700	33525	50169
701	33572	50119
702	33617	50067
703	33667	50022
704	33726	49991
705	33782	49956
706	33839	49921
707	33896	49887
708	33951	49849
709	34009	49816
710	34067	49782
711	34121	49744
712	34179	49711
713	34234	49673
714	34290	49637
715	34347	49602
716	34406	49569
717	34460	49530
718	34516	49493
719	34574	49460
720	34630	49424
721	34683	49383
722	34730	49334
723	34778	49285
724	34825	49235
725	34874	49188
726	34918	49136
727	34965	49085
728	35010	49034
729	35057	48984
730	35105	48936
731	35149	48882
732	35194	48830
733	35239	48777
734	35287	48730
735	35335	48682
736	35383	48633
737	35429	48583
738	35475	48533
739	35523	48485
740	35570	48434
741	35617	48386
742	35662	48334
743	35709	48285
744	35758	48237
745	35805	48188
746	35853	48140
747	35900	48091
748	35946	48040
749	35992	47990
750	36042	47944
751	36088	47893
752	36136	47845
753	36183	47796
754	36231	47748
755	36279	47701
756	36326	47651
757	36373	47602
758	36420	47553
759	36468	47504
760	36514	47454
761	36561	47405
762	36608	47355
763	36654	47305
764	36701	47256
765	36748	47207
766	36796	47159
767	36844	47111
768	36889	47059
769	36938	47012
770	36983	46960
771	37030	46911
772	37077	46862
773	37125	46814
774	37172	46765
775	37219	46716
776	37266	46667
777	37312	46616
778	37362	46570
779	37408	46521
780	37452	46467
781	37495	46414
782	37541	46363
783	37587	46313
784	37632	46261
785	37681	46215
786	37728	46166
787	37777	46119
788	37822	46068
789	37869	46018
790	37913	45966
791	37960	45916
792	38008	45869
793	38055	45819
794	38100	45768
795	38149	45721
796	38195	45671
797	38241	45620
798	38287	45571
799	38334	45522
800	38380	45472
801	38425	45421
802	38474	45373
803	38521	45324
804	38568	45276
805	38616	45228
806	38663	45178
807	38710	45130
808	38760	45084
809	38806	45034
810	38852	44984
811	38900	44937
812	38950	44891
813	38997	44842
814	39044	44793
815	39091	44743
816	39140	44697
817	39185	44647
818	39233	44599
819	39280	44550
820	39327	44500
821	39375	44453
822	39422	44404
823	39468	44353
824	39515	44305
825	39562	44255
826	39607	44205
827	39654	44156
828	39699	44105
829	39746	44056
830	39791	44005
831	39839	43957
832	39886	43909
833	39932	43858
834	39978	43808
835	40025	43759
836	40072	43710
837	40117	43660
838	40164	43611
839	40212	43563
840	40257	43512
841	40305	43464
842	40350	43413
843	40396	43363
844	40441	43313
845	40491	43268
846	40537	43218
847	40584	43168
848	40629	43117
849	40674	43066
850	40724	43021
851	40773	42974
852	40821	42927
853	40870	42880
854	40913	42827
855	40962	42780
856	41008	42731
857	41054	42680
858	41100	42631
859	41149	42584
860	41194	42534
861	41240	42484
862	41286	42435
863	41335	42388
864	41384	42341
865	41430	42291
866	41479	42244
867	41525	42194
868	41570	42144
869	41618	42096
870	41664	42047
871	41712	41999
872	41761	41952
873	41805	41900
874	41851	41851
875	41898	41802
876	41944	41753
877	41991	41704
878	42039	41656
879	42089	41610
880	42137	41563
881	42184	41514
882	42230	41464
883	42276	41415
884	42322	41366
885	42369	41317
886	42417	41269
887	42464	41220
888	42510	41171
889	42557	41122
890	42605	41075
891	42652	41026
892	42698	40977
893	42743	40926
894	42788	40875
895	42835	40827
896	42883	40779
897	42930	40731
898	42976	40682
899	43022	40632
900	43070	40584
901	43116	40534
902	43163	40486
903	43211	40439
904	43258	40390
905	43306	40342
906	43353	40293
907	43399	40245
908	43444	40194
909	43491	40145
910	43537	40096
911	43583	40047
912	43631	39999
913	43680	39952
914	43728	39905
915	43777	39858
916	43825	39810
917	43871	39761
918	43917	39712
919	43966	39665
920	44013	39616
921	44057	39565
922	44104	39517
923	44152	39469
924	44200	39421
925	44246	39372
926	44294	39325
927	44342	39277
928	44385	39225
929	44431	39176
930	44475	39125
931	44521	39075
932	44568	39027
933	44614	38978
934	44668	38935
935	44725	38895
936	44779	38853
937	44837	38814
938	44890	38771
939	44948	38732
940	45004	38691
941	45060	38650
942	45114	38608
943	45171	38568
944	45229	38529
945	45285	38487
946	45345	38450
947	45405	38412
948	45461	38371
949	45517	38330
950	45573	38289
951	45630	38249
952	45678	38201
953	45726	38153
954	45775	38106
955	45823	38058
956	45872	38011
957	45917	37961
958	45964	37912
959	46011	37863
960	46055	37812
961	46102	37763
962	46149	37715
963	46196	37666
964	46244	37618
965	46293	37571
966	46340	37523
967	46385	37472
968	46433	37424
969	46479	37375
970	46526	37326
971	46573	37277
972	46621	37230
973	46671	37183
974	46719	37136
975	46765	37086
976	46814	37039
977	46859	36989
978	46906	36940
979	46954	36892
980	47001	36844
981	47047	36794
982	47094	36745
983	47142	36698
984	47188	36648
985	47235	36600
986	47282	36551
987	47331	36504
988	47377	36455
989	47425	36407
990	47471	36358
991	47515	36307
992	47562	36258
993	47609	36210
994	47654	36160
995	47704	36113
996	47750	36064
997	47794	36013
998	47840	35964
999	47886	35915
1000	47933	35866
1001	47981	35818
1002	48028	35770
1003	48075	35721
1004	48121	35672
1005	48167	35622
1006	48214	35574
1007	48262	35526
1008	48308	35476
1009	48353	35427
1010	48401	35379
1011	48448	35331
1012	48497	35284
1013	48544	35235
1014	48587	35184
1015	48635	35136
1016	48679	35085
1017	48725	35036
1018	48768	34984
1019	48814	34936
1020	48861	34887
1021	48908	34839
1022	48954	34789
1023	49000	34740
1024	49048	34692
1025	49094	34643
1026	49140	34594
1027	49188	34546
1028	49237	34499
1029	49284	34451
1030	49333	34403
1031	49379	34354
1032	49426	34306
1033	49474	34259
1034	49523	34212
1035	49573	34165
1036	49620	34117
1037	49666	34068
1038	49713	34019
1039	49762	33972
1040	49809	33924
1041	49856	33875
1042	49903	33827
1043	49948	33777
1044	49997	33730
1045	50042	33680
1046	50089	33632
1047	50136	33584
1048	50186	33537
1049	50234	33489
1050	50283	33442
1051	50329	33393
1052	50376	33345
1053	50421	33295
1054	50467	33246
1055	50514	33198
1056	50561	33149
1057	50609	33101
1058	50656	33053
1059	50702	33004
1060	50748	32955
1061	50796	32907
1062	50843	32859
1063	50889	32810
1064	50937	32762
1065	50985	32715
1066	51032	32666
1067	51078	32617
1068	51126	32569
1069	51174	32522
1070	51220	32473
1071	51268	32425
1072	51315	32376
1073	51362	32328
1074	51409	32280
1075	51455	32231
1076	51503	32183
1077	51549	32134
1078	51596	32086
1079	51643	32038
1080	51693	31991
1081	51741	31943
1082	51789	31896
1083	51838	31849
1084	51884	31800
1085	51931	31751
1086	51977	31702
1087	52024	31654
1088	52070	31605
1089	52119	31558
1090	52163	31508
1091	52209	31459
1092	52254	31410
1093	52300	31360
1094	52347	31312
1095	52393	31264
1096	52439	31215
1097	52487	31167
1098	52535	31119
1099	52580	31070
1100	52629	31023
1101	52676	30975
1102	52723	30926
1103	52768	30877
1104	52811	30826
1105	52859	30778
1106	52908	30731
1107	52954	30683
1108	52999	30633
1109	53050	30587
1110	53096	30538
1111	53143	30490
1112	53188	30441
1113	53235	30393
1114	53283	30345
1115	53330	30296
1116	53375	30247
1117	53420	30198
1118	53466	30149
1119	53515	30102
1120	53563	30054
1121	53611	30007
1122	53657	29958
1123	53703	29909
1124	53749	29860
1125	53794	29811
1126	53843	29764
1127	53894	29718
1128	53941	29670
1129	53986	29621
1130	54035	29574
1131	54082	29525
1132	54127	29476
1133	54173	29427
1134	54220	29379
1135	54267	29331
1136	54317	29284
1137	54365	29236
1138	54412	29188
1139	54458	29140
1140	54504	29091
1141	54553	29044
1142	54601	28996
1143	54649	28949
1144	54696	28900
1145	54744	28853
1146	54790	28804
1147	54838	28756
1148	54885	28708
1149	54936	28662
1150	54982	28614
1151	55029	28565
1152	55075	28516
1153	55126	28470
1154	55175	28423
1155	55222	28375
1156	55269	28327
1157	55316	28279
1158	55363	28231
1159	55407	28181
1160	55454	28133
1161	55501	28085
1162	55546	28036
1163	55594	27988
1164	55646	27942
1165	55703	27899
1166	55760	27856
1167	55819	27814
1168	55875	27770
1169	55934	27728
1170	55991	27684
1171	56050	27642
1172	56107	27599
1173	56163	27555
1174	56221	27512
1175	56278	27469
1176	56337	27426
1177	56396	27384
1178	56455	27341
1179	56510	27297
1180	56569	27254
1181	56623	27209
1182	56675	27163
1183	56721	27114
