iter	Accuracy	Logloss
266	0.7866968331	0.4706931728
267	0.7867081314	0.4706736215
268	0.7867603859	0.4706585718
269	0.7867392017	0.4706378289
270	0.7867688597	0.4706259127
271	0.7867759211	0.470604596
272	0.7868112282	0.4705791307
273	0.7868182897	0.4705615213
274	0.7868874917	0.4705411755
275	0.7868818425	0.4705186672
276	0.786869132	0.4704973064
277	0.786879018	0.4704798735
278	0.7869002022	0.470469502
279	0.7868917285	0.4704560853
280	0.786908676	0.4704379463
281	0.7869115005	0.4704089944
282	0.7868945531	0.4703937682
283	0.7869369217	0.4703772621
284	0.7869708165	0.4703615946
285	0.7869552814	0.4703423963
286	0.7869566937	0.4703232422
287	0.7869750534	0.4703107082
288	0.78699765	0.4702815356
289	0.7869891762	0.4702597776
290	0.7870089482	0.4702418592
291	0.7870555537	0.4702154671
292	0.7870696765	0.4701879276
293	0.7870894485	0.4701715097
294	0.78709651	0.470156769
295	0.7870753257	0.4701441467
296	0.7870837994	0.4701285674
297	0.7870979222	0.4701138267
298	0.7871304048	0.4701007631
299	0.7871586505	0.4700758715
300	0.787126168	0.4700570705
301	0.78714594	0.470043742
302	0.7871671242	0.4700166438
303	0.7871996068	0.4700003142
304	0.7872137297	0.4699871623
305	0.7872306771	0.4699631535
306	0.7872617474	0.4699471328
307	0.7872476245	0.4699289055
308	0.787264572	0.469907633
309	0.7872490368	0.4698902001
310	0.7872278525	0.4698733409
311	0.7872419754	0.4698505678
312	0.7872589228	0.4698243081
313	0.7872490368	0.4698138484
314	0.7872504491	0.4697968127
315	0.7872984668	0.4697852055
316	0.7873069405	0.4697779675
317	0.787304116	0.469755062
318	0.7872984668	0.4697357755
319	0.7873210634	0.4697129141
320	0.7873210634	0.4696949074
321	0.7873563705	0.4696791075
322	0.7873493091	0.4696626897
323	0.7873648443	0.4696482137
324	0.7873719057	0.4696287065
325	0.787383204	0.4696008139
326	0.787402976	0.4695820128
327	0.7874255725	0.4695686844
328	0.7874467568	0.4695529727
329	0.7874693534	0.4695392029
330	0.7874580551	0.4695245946
331	0.787472178	0.4695085299
332	0.7874792394	0.4694860657
333	0.7874778271	0.4694724283
334	0.7874848885	0.4694563635
335	0.7875442045	0.4694263525
336	0.7875738625	0.4694113469
337	0.7875964591	0.4693962973
338	0.787600696	0.4693732594
339	0.7876021083	0.4693562678
340	0.787620468	0.4693335388
341	0.7876374154	0.4693061317
342	0.7876331785	0.4692943038
343	0.7876769594	0.4692747083
344	0.7876882577	0.4692505229
345	0.7876826085	0.4692306185
346	0.7877009683	0.4692109789
347	0.7877221525	0.4691908097
348	0.7877080297	0.4691725824
349	0.7876882577	0.4691634025
350	0.7876868454	0.4691427037
351	0.7877263894	0.4691315378
352	0.7877659334	0.4691069994
353	0.7877631088	0.4690874039
354	0.7877659334	0.4690655576
355	0.7878054774	0.4690495811
356	0.7878012406	0.4690307801
357	0.7878068897	0.4690157304
358	0.7878040651	0.4689997098
359	0.7878252494	0.468983645
360	0.787828074	0.4689639172
361	0.7878252494	0.4689527071
362	0.7878407846	0.4689405262
363	0.7878308986	0.4689324497
364	0.7878549074	0.4689176648
365	0.7878365477	0.468900585
366	0.7878436091	0.4688877861
367	0.78788739	0.4688740605
368	0.787897276	0.4688583488
369	0.7879057497	0.4688471829
370	0.7879354077	0.4688307651
371	0.787946706	0.4688137294
372	0.7879777763	0.4688048585
373	0.7879890746	0.4687853513
374	0.7879947237	0.4687680508
375	0.78798625	0.4687538838
376	0.7880215571	0.4687347738
377	0.7880229694	0.4687228135
378	0.7880427414	0.4687080286
379	0.7880243817	0.4686920522
380	0.7880512151	0.4686783265
381	0.7880978206	0.4686660573
382	0.7880921714	0.4686523757
383	0.7880808731	0.4686381205
384	0.7881077066	0.468617201
385	0.7880978206	0.468604005
386	0.7881175926	0.4685894408
387	0.7881260663	0.4685715665
388	0.788154312	0.4685556783
389	0.788174084	0.4685384219
390	0.78818397	0.4685196209
391	0.7882192771	0.4684994958
392	0.7882305754	0.4684874473
393	0.7882362246	0.4684718238
394	0.7882390491	0.4684605697
395	0.7882277509	0.4684477708
