iter	Accuracy	Logloss
199	0.7872291884	0.470484343
200	0.7872935927	0.470452482
201	0.7873110582	0.47043488
202	0.787319791	0.4704061914
203	0.7873448977	0.4703870544
204	0.7873186994	0.4703561826
205	0.787308875	0.470334146
206	0.7872804935	0.4703122118
207	0.7872903179	0.4702914714
208	0.787314333	0.4702617936
209	0.7873274322	0.4702424178
210	0.7873492641	0.4702090899
211	0.7873601801	0.470187872
212	0.7873394397	0.4701607527
213	0.7873623633	0.4701379997
214	0.7873689128	0.4701063093
215	0.7873754624	0.4700875133
216	0.7873863784	0.4700581767
217	0.7874420498	0.4700359695
218	0.7874868053	0.4700173782
219	0.7874835305	0.4700002879
220	0.787460607	0.4699845621
221	0.7874988129	0.4699610928
222	0.7874758894	0.4699390561
223	0.7874944465	0.4699005432
224	0.7875119121	0.4698814062
225	0.7875381104	0.4698670107
226	0.7875675835	0.4698470891
227	0.7875501179	0.4698295212
228	0.7876112474	0.469814273
229	0.7876090642	0.4697926457
230	0.7875937818	0.4697753507
231	0.7875937818	0.4697247279
232	0.7876199802	0.4697033394
233	0.7876232549	0.4696876818
234	0.7876505449	0.4696669415
235	0.7876549113	0.4696405385
236	0.7876450869	0.4696220495
237	0.7876308961	0.4695992284
238	0.7875948734	0.4695738828
239	0.7876308961	0.4695565878
240	0.787658186	0.4695376213
241	0.78767456	0.4695176656
242	0.7876887508	0.4694984262
243	0.7877280483	0.4694742746
244	0.7877389642	0.4694645867
245	0.7877433306	0.4694374332
246	0.787753155	0.4694088811
247	0.7877629794	0.4693861623
248	0.7877815365	0.4693674004
249	0.787758613	0.4693555634
250	0.7877695289	0.469342089
251	0.7877749869	0.469303542
252	0.7877946357	0.4692868269
253	0.78780446	0.4692689179
254	0.7877924525	0.469248621
255	0.7878011853	0.4692266527
256	0.7877968189	0.4692096988
257	0.7877837197	0.469191858
258	0.78780446	0.4691683887
259	0.787837208	0.4691481941
260	0.7878175592	0.4691182093
261	0.7878295668	0.4690978101
262	0.7878164676	0.4690807198
263	0.7878306584	0.4690604911
264	0.787826292	0.4690459251
265	0.7878273836	0.4690295171
266	0.7878579483	0.4690025341
267	0.7878863298	0.4689836018
268	0.7879190777	0.4689687287
269	0.7879212609	0.4689492847
270	0.7879376349	0.4689368678
271	0.787950734	0.4689200845
272	0.7879758408	0.4689000946
273	0.7879802072	0.46887625
274	0.7879922147	0.4688652999
275	0.78796165	0.4688382488
276	0.7879747492	0.4688200328
277	0.787983482	0.4688081617
278	0.7879747492	0.4687854428
279	0.7880042223	0.4687700922
280	0.7880260542	0.4687580505
281	0.7880195047	0.4687446785
282	0.7880173215	0.4687337625
283	0.7880271458	0.4687242451
284	0.788023871	0.4687005029
285	0.7880380618	0.468685357
286	0.7880522526	0.4686708592
287	0.7880719013	0.4686519951
288	0.7880631685	0.4686332332
289	0.7881166568	0.4686138233
290	0.7881111988	0.4685964601
291	0.78811884	0.4685797109
292	0.7881155652	0.4685642579
293	0.7881232064	0.468538776
294	0.7881166568	0.4685196389
295	0.7881417635	0.4685003654
296	0.7881352139	0.468483855
297	0.7881199316	0.4684645815
298	0.7881308475	0.4684508001
299	0.7881635955	0.468434085
300	0.7881592291	0.468412526
301	0.7881483131	0.4683917174
302	0.7881690534	0.4683640522
303	0.7881788778	0.4683460068
