iter	Passed	Remaining
547	111373	41053
548	111577	40850
549	111786	40649
550	112053	40469
551	112275	40272
552	112529	40087
553	112792	39904
554	112989	39698
555	113186	39492
556	113417	39299
557	113641	39102
558	113876	38909
559	114060	38699
560	114244	38488
561	114445	38284
562	114677	38090
563	114878	37885
564	115053	37672
565	115235	37461
566	115403	37246
567	115598	37040
568	115791	36833
569	116022	36638
570	116213	36431
571	116404	36223
572	116610	36020
573	116801	35813
574	117011	35612
575	117258	35421
576	117468	35220
577	117664	35014
578	117858	34808
579	118080	34609
580	118321	34417
581	118549	34220
582	118720	34007
583	118928	33804
584	119169	33611
585	119354	33403
586	119571	33202
587	119793	33004
588	119990	32798
589	120193	32594
590	120385	32387
591	120555	32175
592	120797	31981
593	121016	31782
594	121255	31587
595	121430	31376
596	121652	31177
597	121842	30969
598	122070	30772
599	122248	30562
600	122460	30360
601	122661	30156
602	122876	29954
603	123060	29746
604	123246	29538
605	123423	29328
606	123667	29134
607	123882	28933
608	124112	28735
609	124299	28527
610	124529	28329
611	124707	28120
612	124970	27929
613	125194	27730
614	125409	27528
615	125624	27327
616	125801	27117
617	125970	26906
618	126142	26695
619	126334	26489
620	126582	26294
621	126776	26089
622	126999	25889
623	127242	25693
624	127511	25502
625	127727	25300
626	127899	25090
627	128153	24896
628	128350	24690
629	128615	24498
630	128822	24294
631	129047	24094
632	129240	23887
633	129459	23686
634	129688	23486
635	129884	23281
636	130110	23080
637	130291	22872
638	130478	22665
639	130660	22457
640	130842	22249
641	131058	22047
642	131285	21846
643	131483	21641
644	131715	21442
645	131891	21233
646	132103	21030
647	132282	20822
648	132519	20623
649	132771	20426
650	132953	20218
651	133127	20009
652	133332	19805
653	133547	19603
654	133744	19398
655	133923	19190
656	134095	18981
657	134292	18776
658	134455	18566
659	134662	18363
660	134857	18157
661	135099	17958
662	135317	17756
663	135509	17550
664	135686	17343
665	135912	17142
666	136141	16941
667	136315	16733
668	136521	16529
669	136738	16326
670	136939	16122
671	137157	15920
672	137381	15718
673	137561	15511
674	137779	15308
675	137961	15102
676	138205	14902
677	138414	14698
678	138589	14491
679	138806	14288
680	138984	14082
681	139177	13876
682	139366	13671
683	139574	13467
684	139798	13265
685	139995	13060
686	140207	12857
687	140417	12653
688	140602	12448
689	140830	12246
690	141052	12043
691	141262	11839
692	141476	11636
693	141698	11433
694	141953	11233
695	142143	11028
696	142330	10822
697	142497	10615
698	142685	10410
699	142885	10206
700	143077	10001
701	143261	9795
702	143511	9594
703	143738	9392
704	143987	9190
705	144232	8988
706	144431	8784
707	144660	8581
708	144842	8375
709	145012	8169
