iter	Accuracy	Logloss
393	0.8018719141	0.4516142027
394	0.8018737544	0.4515943912
395	0.801849831	0.4515733432
396	0.8018645531	0.4515621003
397	0.8018351089	0.4515447041
398	0.801892157	0.4515258414
399	0.8018958375	0.4515091928
400	0.8019087193	0.4515006816
401	0.8018792752	0.451484263
402	0.8018663933	0.4514768157
403	0.8018792752	0.4514684483
404	0.8019087193	0.4514423395
405	0.8019068791	0.4514237932
406	0.8019381635	0.4514072883
407	0.8019381635	0.4513919911
408	0.8019363233	0.4513733872
409	0.8019712882	0.4513533456
410	0.8019970519	0.451333189
411	0.802011774	0.4513177768
412	0.8020725026	0.4512920132
413	0.8020945858	0.451275307
414	0.8021019468	0.4512637192
415	0.8020872247	0.4512527063
416	0.8020817039	0.4512349076
417	0.802096426	0.4512229459
418	0.8020669818	0.4512067861
419	0.802089065	0.451190655
420	0.8020835442	0.4511853068
421	0.8020504195	0.4511570702
422	0.8020522597	0.451134067
423	0.802089065	0.4511196037
424	0.8021111481	0.4511102011
425	0.8020982663	0.4510849262
426	0.8021405923	0.4510667249
427	0.8021553144	0.4510528654
428	0.8021681962	0.4510376833
429	0.8021645157	0.4510254628
430	0.8021608352	0.4510071464
431	0.8021958002	0.4509948109
432	0.8021755573	0.4509733316
433	0.8021681962	0.450956913
434	0.8022105222	0.4509466766
435	0.8021958002	0.4509270375
436	0.8021829183	0.4509142132
437	0.802166356	0.4509003537
438	0.8021755573	0.4508763441
439	0.802173717	0.4508728361
440	0.8021939599	0.4508563887
441	0.8021847586	0.450840459
442	0.8021645157	0.4508225164
443	0.8021829183	0.4508039988
444	0.802173717	0.4507892767
445	0.8021865988	0.4507758198
446	0.8021884391	0.4507584811
447	0.8022013209	0.4507391871
448	0.8022252443	0.4507324011
449	0.8021958002	0.450719203
450	0.8021976404	0.4507101167
451	0.802208682	0.4506924042
452	0.8022050015	0.4506805
453	0.8022307651	0.4506638801
454	0.8022528483	0.4506477491
455	0.8022786119	0.4506326244
456	0.8022767717	0.4506172698
457	0.8022712509	0.4505991834
458	0.8022786119	0.4505796307
459	0.802293334	0.450560653
460	0.8023006951	0.450541819
461	0.8023227782	0.4505244228
462	0.8023319795	0.4505136688
463	0.8023522224	0.4504967326
464	0.8023669445	0.4504876463
465	0.8023871874	0.4504742182
